date,close
2007-01-08,2.4
2007-01-08,1.2
2007-01-08,5.3
2007-01-08,0.9
2007-01-08,-1.1
2007-01-08,-2
2007-01-08,2.3
2007-01-08,4
2007-01-08,2.4
2007-01-08,1.2
2007-01-08,-2.7
2007-01-08,-0.7
2007-01-08,1.9
2007-01-08,-1.4
2007-01-08,-0.8
2007-01-08,-3.3
2007-01-08,-0.2
2007-01-08,1.2
2007-01-08,-22.3
2007-01-08,0.1
2007-01-08,5.2
2007-01-08,-2.9
2007-01-08,2.6
2007-01-08,0.3
2007-01-08,7.2
2007-01-08,2.6
2007-01-08,-12.9
2007-01-08,3.3
2007-01-08,-2.6
2007-01-08,-0.1
2007-01-08,2.4
2007-01-08,-5.4
2007-01-08,-1.4
2007-01-08,-0.3
2007-01-08,-2.1
2007-01-08,0.4
2007-01-08,-1.3
2007-01-08,1.1
2007-01-08,-2.3
2007-01-08,-3.1
2007-01-08,3.6
2007-01-08,-0.6
2007-01-08,2.1
2007-01-08,2.5
2007-01-08,-1.7
2007-01-08,-25.4
2007-01-08,0.1
2007-01-08,-4.2
2007-01-08,1.2
2007-01-08,7.4
2007-01-08,-0.7
2007-01-08,-12.8
2007-01-08,0.7
2007-01-08,-1
2007-01-08,1.6
2007-01-08,-31.6
2007-01-08,-9.3
2007-01-08,-3.7
2007-01-08,-3.2
2007-01-08,-2.8
2007-01-08,0.7
2007-01-08,4.6
2007-01-08,-1
2007-01-08,0.5
2007-01-08,-5.1
2007-01-08,-0.5
2007-01-08,-4.8
2007-01-08,0.8
2007-01-08,-1.9
2007-01-08,-3.3
2007-01-08,0.8
2007-01-08,-3.3
2007-01-08,4.5
2007-01-08,-1.7
2007-01-08,-0.3
2007-01-08,-4.8
2007-01-08,7
2007-01-08,-0.1
2007-01-08,1.3
2007-01-08,-2.7
2007-01-08,0
2007-01-08,-2.1
2007-01-08,-6.5
2007-01-08,-10.8
2007-01-08,-4.5
2007-01-08,1
2007-01-08,2.3
2007-01-08,1.2
2007-01-08,-4.7
2007-01-08,1
2007-01-08,-5.6
2007-01-08,3.4
2007-01-08,-0.1
2007-01-08,8.5
2007-01-08,-4.5
2007-01-08,2
2007-01-08,-9.2
2007-01-08,3.8
2007-01-08,-2.7
2007-01-08,-1.6
2007-01-08,4.5
2007-01-08,-0.4
2007-01-08,2.4
2007-01-08,-3.3
2007-01-08,-0.4
2007-01-08,4.5
2007-01-08,-0.1
2007-01-08,2
2007-01-08,-2
2007-01-08,-0.5
2007-01-08,-2.5
2007-01-08,1.8
2007-01-08,-0.2
2007-01-08,-3.4
2007-01-08,0.3
2007-01-08,1.1
2007-01-08,2.7
2007-01-08,2
2007-01-08,-17.9
2007-01-08,-1.4
2007-01-08,-17.5
2007-01-08,-0.9
2007-01-08,-1.1
2007-01-08,-11.1
2007-01-08,-3.7
2007-01-08,1.3
2007-01-08,-18
2007-01-08,0.7
2007-01-08,4.6
2007-01-08,1
2007-01-08,4.7
2007-01-08,3.5
2007-01-08,-3
2007-01-08,-0.1
2007-01-08,-1.3
2007-01-08,0.7
2007-01-08,3.2
2007-01-08,1
2007-01-08,4.6
2007-01-08,-3.4
2007-01-08,4.6
2007-01-08,-1.3
2007-01-08,1.7
2007-01-08,3.8
2007-01-08,0.3
2007-01-08,1
2007-01-08,3.1
2007-01-08,-3.9
2007-01-08,0.5
2007-01-08,-1.5
2007-01-08,4.1
2007-01-08,0.5
2007-01-08,-2.2
2007-01-08,1.8
2007-01-08,-1.2
2007-01-08,-5.6
2007-01-08,2.2
2007-01-08,5.4
2007-01-08,2.4
2007-01-08,0.7
2007-01-08,0
2007-01-08,0.5
2007-01-08,3.5
2007-01-08,-14.1
2007-01-08,-0.8
2007-01-08,-0.7
2007-01-08,6.1
2007-01-08,-2.9
2007-01-08,-0.8
2007-01-08,1.3
2007-01-08,5.9
2007-01-08,0.3
2007-01-08,0.9
2007-01-08,-0.3
2007-01-08,3.2
2007-01-08,-0.3
2007-01-08,-3
2007-01-08,-4.2
2007-01-08,2.6
2007-01-08,2.4
2007-01-08,0.6
2007-01-08,-2.9
2007-01-08,0.2
2007-01-08,-1
2007-01-08,1
2007-01-08,2.9
2007-01-08,-2
2007-01-08,3.7
2007-01-08,-2.9
2007-01-08,3.7
2007-01-08,-1.2
2007-01-08,3.7
2007-01-08,0.4
2007-01-08,-0.8
2007-01-08,0.8
2007-01-08,5.7
2007-01-08,3.4
2007-01-08,-11.6
2007-01-08,-1
2007-01-08,3
2007-01-08,-1.6
2007-01-08,-1.6
2007-01-08,-0.8
2007-01-08,-8.3
2007-01-08,-10.2
2007-01-08,2.4
2007-01-08,1.5
2007-01-08,0.3
2007-01-08,-1.6
2007-01-09,-3.8
2007-01-09,4.2
2007-01-09,2.4
2007-01-09,3.2
2007-01-09,-1.9
2007-01-09,3.6
2007-01-09,4.1
2007-01-09,-1.6
2007-01-09,1.7
2007-01-09,1.4
2007-01-09,-0.2
2007-01-09,4.6
2007-01-09,-4.5
2007-01-09,-0.1
2007-01-09,2.4
2007-01-09,-1.8
2007-01-09,-20.7
2007-01-09,0.2
2007-01-09,0.8
2007-01-09,-1.6
2007-01-09,-5.6
2007-01-09,2.7
2007-01-09,3.9
2007-01-09,1.8
2007-01-09,-3.1
2007-01-09,0.3
2007-01-09,4.6
2007-01-09,3.7
2007-01-09,2.3
2007-01-09,2.8
2007-01-09,4.6
2007-01-09,3
2007-01-09,-0.7
2007-01-09,0
2007-01-09,-17.6
2007-01-09,-1.5
2007-01-09,-5
2007-01-09,-2.8
2007-01-09,-1.4
2007-01-09,-1
2007-01-09,1.2
2007-01-09,-14.6
2007-01-09,-1.4
2007-01-09,-0.2
2007-01-09,-1.9
2007-01-09,0.3
2007-01-09,-2.4
2007-01-09,1.2
2007-01-09,0.4
2007-01-09,2.3
2007-01-09,6
2007-01-09,1.9
2007-01-09,-0.7
2007-01-09,-9.6
2007-01-09,3
2007-01-09,3.5
2007-01-09,-0.7
2007-01-09,3
2007-01-09,6.9
2007-01-09,-0.2
2007-01-09,-3.5
2007-01-09,-6.1
2007-01-09,3.7
2007-01-09,1.8
2007-01-09,5.3
2007-01-09,3
2007-01-09,-0.4
2007-01-09,-3.1
2007-01-09,1.7
2007-01-09,2.2
2007-01-09,-15
2007-01-09,-2.7
2007-01-09,5.2
2007-01-09,1.4
2007-01-09,-4
2007-01-09,1.4
2007-01-09,-2.4
2007-01-09,1.5
2007-01-09,-7.6
2007-01-09,1
2007-01-09,1.3
2007-01-09,-1.1
2007-01-09,0.2
2007-01-09,0
2007-01-09,2.1
2007-01-09,-2.4
2007-01-09,41.1
2007-01-09,4.3
2007-01-09,1.7
2007-01-09,0.2
2007-01-09,-17.4
2007-01-09,7.4
2007-01-09,1.7
2007-01-09,-7.1
2007-01-09,0.1
2007-01-09,-9
2007-01-09,0.2
2007-01-09,5.7
2007-01-09,-0.4
2007-01-09,7.5
2007-01-09,-1.3
2007-01-09,0.9
2007-01-09,2.2
2007-01-09,-15.7
2007-01-09,1.7
2007-01-09,-0.8
2007-01-09,-10.1
2007-01-09,-0.1
2007-01-09,-12.9
2007-01-09,0
2007-01-09,-2.8
2007-01-09,0.4
2007-01-09,4.8
2007-01-09,1.9
2007-01-09,0.6
2007-01-09,0.2
2007-01-09,1.4
2007-01-09,-1.5
2007-01-09,-2.2
2007-01-09,-0.8
2007-01-09,0.4
2007-01-09,-1
2007-01-09,-1.5
2007-01-09,-0.2
2007-01-09,-2
2007-01-09,-5.2
2007-01-09,3.1
2007-01-09,-0.8
2007-01-09,4.3
2007-01-09,3.1
2007-01-09,0.9
2007-01-09,-0.3
2007-01-09,0.6
2007-01-09,1
2007-01-09,0.7
2007-01-09,0.9
2007-01-09,8.9
2007-01-09,-2
2007-01-09,1.8
2007-01-09,0.1
2007-01-09,3
2007-01-09,-0.8
2007-01-09,0.1
2007-01-09,-4
2007-01-09,-8.5
2007-01-09,-3.9
2007-01-09,4.4
2007-01-09,-0.4
2007-01-09,-5.9
2007-01-09,1.7
2007-01-09,0.8
2007-01-09,0.7
2007-01-09,-1.4
2007-01-09,0.5
2007-01-09,0.8
2007-01-09,0.4
2007-01-09,-3.7
2007-01-09,0.6
2007-01-09,2.4
2007-01-09,1.6
2007-01-09,4
2007-01-09,1.4
2007-01-09,0.2
2007-01-09,2.1
2007-01-09,-3.5
2007-01-09,0.4
2007-01-09,12
2007-01-09,0.8
2007-01-09,1.2
2007-01-09,2.4
2007-01-09,-0.6
2007-01-09,0
2007-01-09,-20.9
2007-01-09,-0.8
2007-01-09,2.7
2007-01-09,2.4
2007-01-09,5
2007-01-09,-4.4
2007-01-09,-0.4
2007-01-09,-1
2007-01-09,-3.5
2007-01-09,-21.1
2007-01-09,1.5
2007-01-09,-2.9
2007-01-09,3.3
2007-01-09,7
2007-01-09,-1
2007-01-09,2.2
2007-01-09,0.2
2007-01-09,2.5
2007-01-09,1.8
2007-01-09,-13
2007-01-09,-0.9
2007-01-09,1.1
2007-01-09,-2.4
2007-01-09,-0.3
2007-01-09,-26.7
2007-01-09,2.8
2007-01-09,1.6
2007-01-09,2.4
2007-01-09,2.1
2007-01-09,1
2007-01-09,2.9
2007-01-09,1.1
2007-01-09,-2
2007-01-09,3
2007-01-09,-3
2007-01-09,4.3
2007-01-09,-5.1
2007-01-09,-1.1
2007-01-09,1.3
2007-01-09,2.3
2007-01-09,1.8
2007-01-09,-2.1
2007-01-09,-0.2
2007-01-09,-0.7
2007-01-09,-0.9
2007-01-09,4.4
2007-01-09,4.1
2007-01-09,0.5
2007-01-09,2
2007-01-09,1.6
2007-01-09,-12.2
2007-01-09,0.7
2007-01-09,-0.1
2007-01-09,-2.6
2007-01-09,-4.1
2007-01-09,2.5
2007-01-09,-11.3
2007-01-09,-0.1
2007-01-09,-2.7
2007-01-09,0.9
2007-01-09,3
2007-01-09,-2.2
2007-01-09,-2.3
2007-01-09,1.6
2007-01-09,-12.1
2007-01-09,-9.9
2007-01-09,2
2007-01-09,-3.5
2007-01-09,0.6
2007-01-09,4.6
2007-01-09,-0.3
2007-01-09,5.1
2007-01-09,2.7
2007-01-09,-4.1
2007-01-09,-6.5
2007-01-09,0.8
2007-01-09,-3.4
2007-01-09,-6.2
2007-01-09,-8.4
2007-01-09,3.1
2007-01-09,0.5
2007-01-09,4.8
2007-01-09,-26.7
